Datetime,SMA,SMA_diff,Maneuver
2018-02-27 05:19:00.912576,6864.32789709053,-0.0030277683499662,0
2018-02-27 13:17:05.532000,6864.32543890483,-0.0024581857005614,0
2018-02-27 20:57:51.665760,6864.32349034455,-0.0019485602797431,0
2018-02-28 04:51:11.604096,6864.31950329475,-0.0039870498003438,0
2018-02-28 12:54:36.314784,6864.31758471646,-0.0019185782894055,0
2018-02-28 20:51:43.470432,6864.31584600605,-0.0017387104098816,0
2018-03-01 04:30:30.171744,6864.31332787567,-0.0025181303799399,0
2018-03-01 09:25:45.456672,6864.31239856623,-0.0009293094408349,0
2018-03-01 12:33:57.040704,6864.31164912337,-0.0007494428591598,0
2018-03-01 17:24:38.096352,6864.31095963611,-0.0006894872603879,0
2018-03-02 05:35:04.530912,6864.30733233645,-0.0036272996603656,0
2018-03-02 12:09:14.312160,6864.30520392317,-0.0021284132799337,0
2018-03-02 21:25:38.726112,6864.30319542202,-0.0020085011501578,0
2018-03-03 05:16:54.468768,6864.30049743771,-0.0026979843096341,0
2018-03-03 13:14:58.366752,6864.29836902973,-0.0021284079803081,0
2018-03-03 21:05:49.792992,6864.29645046621,-0.0019185635192116,0
2018-03-04 04:52:37.496064,6864.29366255598,-0.0027879102308361,0
2018-03-04 12:47:38.467104,6864.29180395073,-0.0018586052492537,0
2018-03-04 20:41:16.486368,6864.29075473865,-0.0010492120800336,0
2018-03-05 04:28:23.130912,6864.28769703715,-0.0030577015004382,0
2018-03-05 12:23:17.582208,6864.28601830052,-0.0016787366303105,0
2018-03-05 20:26:05.984160,6864.28493911323,-0.0010791872891786,0
2018-03-06 05:32:40.337088,6864.28095211941,-0.0039869938200354,0
2018-03-06 11:59:22.477344,6864.27903356806,-0.0019185513501724,0
2018-03-06 21:24:09.646848,6864.27783447414,-0.0011990939201496,0
2018-03-07 05:14:46.760928,6864.27573606105,-0.0020984130896977,0
2018-03-07 13:12:49.688640,6864.27420721824,-0.0015288428103303,0
2018-03-07 21:00:24.003648,6864.27258844442,-0.0016187738201551,0
