Datetime,SMA,SMA_diff
2018-01-27 05:10:24.941280,6864.52365967692,-0.0026982035997207277
2018-01-27 13:09:53.690112,6864.52117133594,-0.002488340979653003
2018-01-27 20:56:12.977952,6864.51964235647,-0.0015289794700947823
2018-01-28 04:46:13.435104,6864.51661438001,-0.0030279764605438686
2018-01-28 12:48:51.465600,6864.51439586473,-0.0022185152793099405
2018-01-28 20:36:29.067264,6864.51271698949,-0.0016788752400316298
2018-01-29 05:54:50.019264,6864.50887956423,-0.0038374252608264214
2018-01-29 12:22:14.529216,6864.50738057145,-0.001498992779488617
2018-01-29 21:45:52.926048,6864.50588157948,-0.0014989919700383325
2018-01-30 05:26:17.448576,6864.50345321423,-0.0024283652501253528
2018-01-30 13:30:24.119424,6864.50117475002,-0.0022784642096667085
